customer_id,gender,age,annual_income_kusd,spending_score,purchase_freq_yr,avg_basket_usd,avg_session_min,online_ratio,loyalty_years,true_segment
10013,Female,39,63.0,51,3.6,176.96,24.6,0.628,6.2,Mainstream
10784,Female,38,89.6,81,16.4,200.7,25.5,0.615,5.7,Premium Loyalists
10692,Female,29,86.1,79,12.4,192.31,24.6,0.652,3.1,Premium Loyalists
11021,Male,46,24.9,12,1.6,80.89,6.5,0.349,4.5,Budget Conscious
10061,Male,50,63.9,58,10.7,148.01,14.7,0.332,5.3,Mainstream
10072,Female,35,71.0,66,9.8,177.74,24.9,0.259,4.6,Mainstream
11362,Male,24,30.4,68,4.0,94.76,26.0,0.576,1.4,Young Aspirational
10044,Male,39,61.1,53,4.7,158.21,25.3,0.425,5.2,Mainstream
10371,Female,33,44.2,50,8.3,120.43,19.4,0.366,5.1,Mainstream
10904,Female,48,37.0,26,5.7,81.82,8.1,0.117,3.9,Budget Conscious
10112,Male,49,63.2,42,11.0,129.14,16.1,0.467,8.4,Mainstream
10242,Female,18,54.0,53,8.8,125.76,29.2,0.805,0.4,Mainstream
10743,Male,29,90.3,90,9.9,261.33,23.5,0.629,4.4,Premium Loyalists
11028,Male,45,18.6,28,9.0,43.68,4.3,0.375,4.6,Budget Conscious
11371,Male,33,27.7,93,13.8,96.54,38.0,0.38,3.4,Young Aspirational
11370,Male,18,29.3,71,11.4,89.22,28.5,0.693,2.0,Young Aspirational
10675,Female,45,88.8,84,6.6,175.97,25.6,0.382,4.5,Premium Loyalists
10620,Female,45,91.6,86,11.3,229.69,21.8,0.31,5.8,Premium Loyalists
11117,Female,38,23.9,17,4.1,37.21,9.1,0.575,2.2,Budget Conscious
11085,Female,56,33.1,20,3.7,38.77,6.1,0.104,1.5,Budget Conscious
10147,Female,35,63.0,25,3.9,92.04,12.6,0.62,1.2,Mainstream
10260,Female,27,42.3,53,9.7,130.93,16.9,,3.0,Mainstream
10700,Male,48,92.9,79,12.1,202.44,28.7,0.517,3.8,Premium Loyalists
10010,Female,43,52.3,44,6.3,141.16,10.4,0.124,4.1,Mainstream
10295,Male,43,46.9,58,8.6,149.43,21.4,0.744,3.5,Mainstream
10052,Male,38,56.1,57,14.5,121.57,16.7,0.574,4.1,Mainstream
10205,Male,49,79.2,56,11.7,162.58,27.8,0.285,5.0,Mainstream
11197,Male,36,94.3,25,5.2,178.95,24.1,0.277,2.7,Affluent Savers
10519,Male,47,54.5,40,4.3,149.26,12.3,0.307,3.8,Mainstream
10038,Male,69,53.0,53,8.0,129.18,27.8,0.468,6.5,Mainstream
11492,Female,27,42.8,67,13.5,136.64,23.0,0.649,6.2,Young Aspirational
10673,Female,52,86.5,81,10.4,213.0,23.5,0.316,6.4,Premium Loyalists
10211,Female,49,62.3,44,7.1,140.19,8.9,0.277,6.1,Mainstream
11011,Female,59,30.7,19,10.7,66.91,8.1,0.724,9.4,Budget Conscious
11507,Male,18,18.2,68,9.2,64.97,24.9,0.644,2.6,Young Aspirational
10229,Female,45,55.6,38,10.1,153.51,10.5,0.48,2.3,Mainstream
11084,Female,54,33.8,20,4.6,94.16,9.3,0.404,2.9,Budget Conscious
10982,Female,46,32.7,22,2.9,10.0,14.1,0.364,3.3,Budget Conscious
10005,Female,30,63.1,45,6.0,142.01,20.6,0.619,5.7,Mainstream
10432,Female,50,57.9,51,9.2,189.35,30.1,0.398,6.2,Mainstream
10417,Female,63,67.9,55,14.0,151.56,28.9,0.328,7.7,Mainstream
10186,Female,44,50.1,58,7.5,124.85,17.5,0.354,4.2,Mainstream
11460,Male,23,15.2,87,14.8,78.64,25.3,0.635,3.5,Young Aspirational
10622,Female,35,93.0,82,13.0,221.01,26.8,0.629,2.9,Premium Loyalists
11000,Male,31,32.6,24,5.7,84.04,11.3,0.416,3.9,Budget Conscious
10100,Male,38,59.0,49,3.8,156.64,23.8,0.394,1.8,Mainstream
11434,Female,30,36.7,85,11.9,98.96,29.3,0.674,4.1,Young Aspirational
11279,Male,41,94.3,20,7.1,156.98,15.3,0.515,5.5,Affluent Savers
10102,Male,18,53.6,53,9.3,160.07,15.2,0.775,2.0,Mainstream
11539,Male,33,39.3,44,7.0,74.38,20.6,0.648,3.6,Noise
11378,Female,28,12.2,69,9.5,40.67,27.2,0.869,4.3,Young Aspirational
11386,Female,30,29.8,87,13.2,92.61,33.4,0.576,4.5,Young Aspirational
10612,Male,40,89.5,77,14.1,232.05,28.4,0.442,5.7,Premium Loyalists
10618,Female,43,82.3,80,9.6,184.72,32.3,0.327,5.4,Premium Loyalists
10207,Male,33,58.2,59,6.8,106.99,15.0,0.742,4.6,Mainstream
10603,Female,30,83.6,78,8.7,208.86,28.5,0.513,4.3,Premium Loyalists
10572,Male,49,83.8,87,10.5,205.52,31.4,0.37,6.1,Premium Loyalists
10264,Female,46,47.3,41,4.6,102.14,18.2,0.571,4.6,Mainstream
11147,Male,56,83.6,22,4.6,162.75,16.5,0.533,6.3,Affluent Savers
10180,Male,53,64.8,55,8.0,143.99,24.3,0.242,3.8,Mainstream
10489,Male,18,52.9,40,11.5,95.58,19.5,0.681,2.7,Mainstream
10142,Female,47,49.0,46,9.3,106.19,14.9,0.403,6.8,Mainstream
11045,Male,36,25.4,14,6.8,61.28,22.5,0.506,3.1,Budget Conscious
11243,Male,36,89.4,27,8.1,218.36,14.7,0.52,6.1,Affluent Savers
11234,Female,34,92.3,19,2.5,142.81,23.3,0.553,3.0,Affluent Savers
11075,Female,58,33.2,33,10.4,25.62,17.9,0.419,8.2,Budget Conscious
10114,Male,32,29.8,44,9.2,43.8,15.7,0.629,5.1,Mainstream
10393,Male,28,56.5,51,5.1,116.04,19.1,0.76,3.3,Mainstream
10064,Female,44,55.0,33,4.8,139.68,7.3,0.612,2.3,Mainstream
10641,Male,51,87.0,83,15.6,151.74,29.2,0.352,6.4,Premium Loyalists
10250,Male,47,80.4,55,3.6,168.99,30.9,0.309,5.0,Mainstream
10485,Female,33,51.5,44,5.5,102.67,22.9,0.457,3.6,Mainstream
10355,Female,18,55.7,55,8.7,132.6,20.3,0.631,3.3,Mainstream
11169,Female,56,80.3,20,5.9,111.86,13.8,0.309,4.6,Affluent Savers
10118,Male,54,66.8,51,7.4,136.98,19.0,0.4,7.4,Mainstream
11578,Female,48,43.6,3,7.1,76.69,5.2,0.576,8.6,Noise
10769,Female,22,94.5,79,12.3,245.87,32.1,0.879,0.0,Premium Loyalists
10351,Female,31,51.8,41,4.4,113.35,12.8,0.782,3.5,Mainstream
10902,Female,75,32.6,30,8.4,50.4,9.9,0.312,6.8,Budget Conscious
11444,Female,27,41.6,96,12.6,169.92,37.1,0.597,2.4,Young Aspirational
11302,Female,44,85.4,32,4.8,178.61,18.2,0.406,2.0,Affluent Savers
10632,Male,32,99.5,88,16.3,267.43,30.5,0.528,0.0,Premium Loyalists
11545,Male,54,76.8,92,18.1,207.77,37.6,,5.1,Noise
10028,Male,43,65.0,49,8.1,142.96,19.5,0.509,6.7,Mainstream
10557,Male,40,87.5,81,10.6,174.59,42.5,0.48,0.8,Premium Loyalists
10312,Female,44,59.8,45,8.2,116.46,20.2,0.357,3.7,Mainstream
10993,Female,32,24.7,17,1.6,21.58,8.4,0.662,5.7,Budget Conscious
10684,Male,41,91.4,86,11.6,190.88,33.4,0.309,5.8,Premium Loyalists
10954,Female,31,23.5,17,7.2,49.72,3.2,0.68,5.1,Budget Conscious
10996,Male,52,23.6,19,5.8,66.88,16.9,0.556,4.5,Budget Conscious
10309,Female,48,51.7,47,11.5,136.88,22.5,0.533,7.9,Mainstream
10452,Female,38,49.7,60,11.4,127.79,25.9,0.442,8.8,Mainstream
11313,Male,44,69.7,36,5.9,154.29,15.6,0.387,5.0,Affluent Savers
11540,Male,30,53.5,9,5.2,88.35,8.1,0.673,4.2,Noise
11542,Male,51,76.9,66,13.1,155.3,16.7,0.345,4.5,Noise
10415,Male,54,65.4,26,1.3,105.7,18.6,0.297,4.8,Mainstream
10651,Male,45,93.8,92,17.2,215.18,22.0,0.387,3.3,Premium Loyalists
10594,Male,54,89.0,84,14.5,212.99,35.1,0.385,5.3,Premium Loyalists
11446,Female,23,26.1,93,12.8,115.2,30.7,0.667,2.4,Young Aspirational
10288,Female,21,65.2,40,7.1,111.73,20.8,0.627,2.6,Mainstream
11347,Male,25,29.8,87,11.7,143.95,33.8,0.667,3.4,Young Aspirational
10678,Female,44,96.6,81,14.1,214.94,23.4,0.369,6.5,Premium Loyalists
10688,Female,53,90.5,81,12.4,172.6,28.7,0.487,6.1,Premium Loyalists
11145,Male,44,83.2,25,1.7,169.53,17.7,0.408,2.3,Affluent Savers
10173,Male,36,59.1,27,7.4,147.66,18.2,0.693,2.4,Mainstream
11079,Female,59,24.1,18,3.7,34.64,5.7,0.209,5.9,Budget Conscious
10018,Female,43,47.2,52,4.5,118.24,20.5,0.437,3.9,Mainstream
11017,Male,37,32.2,29,3.6,47.03,21.6,0.584,0.5,Budget Conscious
11270,Female,47,90.7,18,6.2,144.61,11.4,0.418,5.0,Affluent Savers
11139,Female,63,89.5,17,4.5,120.37,7.8,0.302,3.2,Affluent Savers
11563,Female,30,82.5,44,7.4,158.13,13.4,0.398,4.8,Noise
11068,Female,53,16.4,12,5.5,10.0,13.9,0.266,6.8,Budget Conscious
10119,Male,18,73.6,64,8.3,167.74,12.9,,0.2,Mainstream
10238,Male,56,55.8,44,7.6,106.28,23.0,0.478,6.9,Mainstream
11497,Female,21,25.6,98,15.6,77.37,30.8,0.443,4.9,Young Aspirational
10475,Male,19,76.8,26,3.0,177.59,13.3,0.661,1.6,Mainstream
10459,Male,46,45.1,43,2.8,110.85,16.1,0.412,2.2,Mainstream
11574,Female,33,61.2,68,10.4,160.93,15.8,0.411,3.2,Noise
10398,Female,18,70.9,61,11.0,169.47,19.6,0.757,1.5,Mainstream
10563,Male,42,93.4,88,15.4,189.2,32.0,0.449,4.4,Premium Loyalists
10453,Male,31,50.2,66,8.4,136.35,22.7,0.37,2.6,Mainstream
10717,Female,42,96.2,87,13.3,246.23,35.2,0.394,4.9,Premium Loyalists
10531,Male,34,84.0,77,15.2,211.69,34.6,0.562,3.1,Premium Loyalists
10758,Male,40,85.7,83,15.2,208.98,23.2,0.525,3.8,Premium Loyalists
10830,Male,35,28.3,27,1.6,108.63,18.4,0.719,1.9,Budget Conscious
10681,Female,44,81.7,83,13.8,205.67,33.1,0.627,4.4,Premium Loyalists
11125,Female,57,85.0,25,1.4,173.27,11.0,0.465,7.3,Affluent Savers
11556,Male,36,46.8,96,12.8,151.46,29.0,0.6,2.5,Noise
11429,Male,38,15.3,68,13.6,60.21,17.0,0.739,0.0,Young Aspirational
10972,Male,44,28.8,17,2.3,40.62,7.6,0.153,7.2,Budget Conscious
10024,Male,50,50.7,45,8.1,137.49,18.1,0.346,3.9,Mainstream
11009,Male,55,29.6,25,6.3,12.44,15.8,0.323,8.3,Budget Conscious
10858,Female,37,30.5,19,3.5,24.79,14.1,0.599,5.1,Budget Conscious
10364,Male,33,51.6,53,6.9,143.18,21.6,0.517,4.9,Mainstream
11247,Female,55,86.8,18,5.5,138.04,15.4,0.138,9.4,Affluent Savers
10286,Male,49,68.3,59,12.0,161.44,29.5,0.191,5.0,Mainstream
10913,Female,50,30.9,30,2.5,48.0,15.2,0.538,3.2,Budget Conscious
10944,Male,52,17.1,30,11.8,68.93,15.6,0.438,3.1,Budget Conscious
10416,Male,37,46.1,56,7.7,137.56,31.2,0.409,0.8,Mainstream
11339,Male,44,89.7,9,8.4,150.05,1.0,0.51,7.6,Affluent Savers
11439,Female,30,24.0,91,15.7,110.16,31.5,0.57,5.5,Young Aspirational
11217,Female,33,72.6,20,5.5,111.91,17.0,0.648,5.5,Affluent Savers
11470,Male,29,25.7,68,13.5,62.32,34.7,0.576,4.0,Young Aspirational
10285,Male,41,53.2,47,11.9,112.81,24.9,0.478,5.5,Mainstream
11273,Female,46,79.4,15,2.1,155.21,17.0,0.28,6.6,Affluent Savers
10733,Male,40,91.6,84,10.0,182.69,27.5,0.499,2.4,Premium Loyalists
11601,Female,55,88.9,13,3.3,175.59,9.1,0.286,4.3,Noise
11314,Female,40,98.9,19,4.0,158.1,13.9,0.69,0.5,Affluent Savers
10347,Male,52,64.7,30,6.2,121.18,12.2,0.288,6.8,Mainstream
11415,Female,29,34.6,81,14.3,60.51,41.3,0.576,3.1,Young Aspirational
10014,Female,65,52.2,49,4.8,137.58,23.5,0.296,7.2,Mainstream
10109,Female,49,46.5,54,11.6,152.99,20.4,0.393,8.0,Mainstream
10375,Female,53,65.8,47,9.2,169.34,18.0,0.452,6.5,Mainstream
10922,Female,52,20.3,23,0.5,64.41,20.4,0.363,4.0,Budget Conscious
10378,Female,49,39.2,44,11.1,115.0,24.9,0.489,7.3,Mainstream
11261,Male,48,101.9,23,2.6,193.81,16.4,0.544,5.5,Affluent Savers
10035,Male,28,53.3,43,6.9,143.89,10.9,0.705,3.0,Mainstream
10880,Male,30,36.3,26,5.9,87.06,15.1,0.668,2.5,Budget Conscious
10455,Female,34,63.8,43,10.2,130.94,11.5,0.805,2.3,Mainstream
10341,Female,51,48.8,48,9.2,115.3,13.7,0.329,6.2,Mainstream
10099,Male,37,55.9,43,7.7,151.6,22.1,0.608,5.5,Mainstream
10914,Female,43,30.1,32,0.6,43.31,20.5,0.622,4.0,Budget Conscious
11123,Male,45,77.5,20,6.0,151.31,11.7,0.606,5.5,Affluent Savers
10877,Female,37,32.3,30,9.3,72.63,12.9,0.592,2.5,Budget Conscious
10740,Male,40,84.3,90,13.8,223.14,29.8,0.571,2.0,Premium Loyalists
11409,Female,33,37.3,91,12.6,102.77,41.9,0.634,6.3,Young Aspirational
11218,Male,65,80.0,27,4.6,160.69,16.1,0.14,10.3,Affluent Savers
11157,Female,53,88.3,22,4.6,113.96,13.1,0.373,5.0,Affluent Savers
11212,Female,33,88.7,24,7.1,150.94,17.7,0.727,1.9,Affluent Savers
11535,Female,32,79.6,1,0.5,89.98,4.4,0.343,2.3,Noise
10097,Male,39,52.0,61,6.9,147.43,28.7,0.398,4.6,Mainstream
10879,Male,35,20.7,20,9.9,37.77,8.9,0.53,4.9,Budget Conscious
10342,Female,18,52.5,38,5.2,158.96,22.5,0.723,3.1,Mainstream
11372,Female,25,26.6,76,15.8,139.22,31.2,0.829,4.5,Young Aspirational
10187,Female,46,47.2,49,9.2,116.41,27.2,0.653,4.8,Mainstream
11430,Male,22,48.7,64,7.9,133.52,27.7,0.659,6.1,Young Aspirational
10653,Male,51,89.5,87,15.2,221.24,28.5,0.465,5.3,Premium Loyalists
10025,Male,31,53.0,46,5.2,129.25,17.5,0.476,0.9,Mainstream
10111,Female,40,58.1,53,9.4,106.8,20.8,0.471,7.1,Mainstream
10016,Female,54,45.8,33,3.4,130.61,12.9,0.384,5.6,Mainstream
10359,Female,44,64.6,65,9.6,127.56,24.7,0.41,5.0,Mainstream
11391,Male,26,40.7,78,9.9,101.94,28.0,0.642,1.0,Young Aspirational
11395,Female,36,24.3,69,13.6,118.88,19.5,0.428,4.4,Young Aspirational
10596,Female,33,96.0,78,10.5,201.22,23.1,0.484,3.4,Premium Loyalists
10783,Male,53,82.2,80,11.2,196.73,29.3,0.187,7.7,Premium Loyalists
10410,Male,31,62.8,41,7.3,142.36,18.9,0.753,2.3,Mainstream
10148,Female,42,58.6,53,7.0,124.39,23.5,0.465,4.6,Mainstream
11520,Male,20,23.7,64,11.0,104.29,21.1,0.621,0.2,Young Aspirational
10838,Male,24,39.0,23,3.5,94.94,15.8,0.642,1.2,Budget Conscious
10331,Female,21,69.6,61,7.8,130.37,19.4,0.623,1.4,Mainstream
11026,Male,50,18.6,13,3.6,59.36,11.6,0.454,3.6,Budget Conscious
10782,Male,39,91.9,87,13.6,198.98,19.5,0.492,5.2,Premium Loyalists
11047,Female,29,18.3,27,6.6,34.99,22.7,0.838,5.5,Budget Conscious
10829,Male,70,21.5,10,0.5,34.83,9.4,0.198,7.3,Budget Conscious
10934,Male,45,20.6,13,4.6,28.97,17.7,0.484,5.9,Budget Conscious
10801,Female,42,85.8,80,11.8,214.87,27.1,0.435,3.5,Premium Loyalists
10360,Female,22,66.4,46,13.1,99.29,25.1,0.594,4.7,Mainstream
11106,Male,42,28.9,20,11.3,24.96,1.0,0.263,4.6,Budget Conscious
11568,Male,43,31.5,73,12.4,94.33,27.7,0.585,3.2,Noise
10047,Female,23,61.4,52,9.8,115.02,7.9,0.53,6.1,Mainstream
10654,Female,38,80.8,83,11.6,226.25,20.7,0.41,5.2,Premium Loyalists
11477,Male,30,46.6,81,10.7,126.2,19.6,0.564,2.3,Young Aspirational
10194,Female,39,51.9,50,10.2,119.63,30.9,0.565,4.0,Mainstream
11196,Male,51,76.8,19,6.3,134.02,11.9,0.627,7.9,Affluent Savers
10749,Female,50,89.8,80,13.3,242.66,24.3,0.451,4.8,Premium Loyalists
10508,Female,29,71.1,51,8.4,190.74,17.5,0.787,3.6,Mainstream
10027,Female,26,69.8,58,6.4,166.46,17.6,0.703,7.3,Mainstream
10919,Male,28,24.1,26,0.6,12.65,15.7,0.424,2.2,Budget Conscious
11063,Female,56,27.5,21,7.5,56.42,19.2,0.332,6.2,Budget Conscious
10518,Female,46,61.6,54,11.5,144.86,17.2,0.598,6.4,Mainstream
10958,Male,43,25.4,23,11.2,86.01,9.7,0.476,4.6,Budget Conscious
10799,Female,49,87.5,82,11.3,208.48,28.8,0.212,6.6,Premium Loyalists
11335,Female,49,74.4,30,3.7,119.22,19.7,0.39,5.2,Affluent Savers
11163,Female,50,78.7,27,1.9,197.11,15.7,0.273,5.8,Affluent Savers
11393,Male,29,23.4,83,10.9,138.85,29.4,0.458,3.2,Young Aspirational
11496,Female,28,6.3,84,12.6,56.25,27.9,0.498,3.7,Young Aspirational
10791,Female,29,91.4,77,11.8,198.36,29.6,0.696,2.3,Premium Loyalists
11138,Female,49,85.8,29,5.1,148.04,6.4,0.695,7.0,Affluent Savers
11191,Male,47,93.5,28,1.9,192.71,15.8,0.33,6.4,Affluent Savers
10852,Male,37,19.3,25,3.5,32.19,21.1,0.741,7.3,Budget Conscious
11343,Male,28,29.8,64,12.4,97.01,38.5,0.646,1.7,Young Aspirational
11254,Female,58,81.4,19,1.7,138.19,21.3,0.238,6.1,Affluent Savers
10253,Female,34,81.4,67,13.4,228.23,28.4,0.62,2.9,Mainstream
11012,Male,44,31.7,24,4.0,50.96,19.0,0.506,5.7,Budget Conscious
10636,Male,18,94.2,88,17.4,236.77,35.6,0.901,1.1,Premium Loyalists
10474,Male,18,72.9,31,7.0,114.39,12.7,0.579,0.5,Mainstream
10165,Male,31,69.0,55,9.4,197.38,17.5,0.387,1.2,Mainstream
11267,Male,60,84.9,31,3.1,179.11,19.7,0.291,7.5,Affluent Savers
11587,Female,35,92.3,42,3.8,150.38,10.3,0.608,3.4,Noise
10208,Female,18,58.8,53,7.6,138.48,12.4,0.737,2.8,Mainstream
10947,Female,33,22.3,24,9.8,33.07,5.0,0.593,4.6,Budget Conscious
10263,Female,45,51.0,38,5.0,157.4,23.9,0.4,4.6,Mainstream
11135,Male,58,91.6,13,5.3,141.44,14.7,0.298,7.2,Affluent Savers
10502,Male,47,57.1,57,4.2,117.69,21.2,0.573,5.5,Mainstream
10652,Female,50,81.8,79,12.8,171.43,26.6,0.354,4.4,Premium Loyalists
10021,Female,36,49.7,48,5.5,117.87,24.0,0.689,5.5,Mainstream
11076,Female,55,30.0,28,10.5,56.44,15.9,0.404,6.8,Budget Conscious
10098,Female,38,70.8,52,11.5,160.37,15.3,0.593,1.4,Mainstream
11083,Male,47,21.1,16,5.1,26.93,18.4,0.332,3.5,Budget Conscious
11275,Male,47,95.6,15,0.6,159.15,13.3,0.331,5.7,Affluent Savers
11263,Male,39,80.5,15,0.5,120.8,15.2,0.583,1.3,Affluent Savers
11022,Male,32,36.5,11,3.3,95.43,17.3,0.567,6.3,Budget Conscious
10499,Male,28,52.1,45,10.4,95.19,18.9,0.553,2.2,Mainstream
10836,Male,35,26.8,28,7.5,93.67,12.3,0.328,3.7,Budget Conscious
10906,Female,49,23.4,25,5.1,48.1,11.2,0.54,5.9,Budget Conscious
11321,Male,50,91.9,24,0.5,181.96,12.7,0.255,4.0,Affluent Savers
10276,Male,58,52.1,51,5.0,90.75,27.3,0.429,5.1,Mainstream
10504,Female,37,55.6,43,9.1,88.55,23.7,0.634,3.0,Mainstream
10798,Male,43,86.9,80,13.9,182.91,13.0,0.329,3.6,Premium Loyalists
11320,Male,34,75.5,17,1.4,155.57,20.1,0.517,3.5,Affluent Savers
10384,Male,53,60.7,46,8.4,142.78,21.7,0.4,6.4,Mainstream
11103,Male,65,26.5,21,3.9,102.21,11.5,0.025,8.2,Budget Conscious
11086,Female,48,35.3,22,4.3,81.7,17.5,0.338,5.2,Budget Conscious
11541,Female,41,87.8,28,7.4,178.76,7.8,0.675,3.7,Noise
10129,Male,33,57.2,45,12.3,129.06,14.5,0.695,4.1,Mainstream
11606,Male,31,56.0,43,0.8,137.94,8.2,0.522,4.2,Noise
11411,Male,22,30.5,57,11.4,126.14,17.3,0.611,3.6,Young Aspirational
10314,Female,42,52.8,61,7.3,98.93,23.0,0.51,4.7,Mainstream
10981,Female,62,29.1,32,6.5,57.54,16.7,0.287,6.7,Budget Conscious
10370,Female,44,82.2,48,9.5,161.17,18.5,0.477,5.1,Mainstream
11269,Male,46,96.2,31,2.4,202.28,15.1,0.441,3.3,Affluent Savers
10377,Female,63,52.9,69,12.0,155.1,26.1,0.165,6.1,Mainstream
10152,Male,49,54.0,42,6.4,80.12,23.8,0.488,6.3,Mainstream
10379,Male,49,59.3,61,12.0,132.56,27.5,0.377,4.6,Mainstream
11367,Male,23,42.0,87,12.0,127.01,21.4,0.745,1.7,Young Aspirational
11458,Female,18,43.7,79,11.6,104.44,26.4,0.518,2.9,Young Aspirational
10867,Female,54,17.5,24,2.8,57.05,16.7,0.427,4.8,Budget Conscious
11431,Male,27,21.4,56,7.8,79.7,21.1,0.456,3.3,Young Aspirational
11332,Male,50,97.3,24,0.5,161.62,18.0,0.323,2.4,Affluent Savers
10870,Male,35,37.3,27,9.2,75.47,23.4,0.667,4.0,Budget Conscious
